VENDOR,DATE,SITEID,Transport Type,NOP,Count of >0.9,Util FEGE %,Max Ethernet Port Daily,BW,Priority,Suspect,Prio,Aging,TrafMax,NeedClose,Status,TiketID
HUAWEI,1/5/2026,LBP016,Telkomsel Radio IP,MEDAN,17,100.74%,201.483.584,200.0,P2,Capacity transport issue,P2,17,201.483.584,Capacity transport issue,Open,LBP01620260105
HUAWEI,1/5/2026,LBP017,Metro-E,MEDAN,13,33.77%,33.770.632,1000.0,P2,need check quality transport,P2,13,33.770.632,need check quality transport,Open,LBP01720260105
HUAWEI,1/5/2026,LBP028,Telkomsel Radio IP,MEDAN,14,92.07%,184.145.456,200.0,P2,Capacity transport issue,P2,14,184.145.456,Capacity transport issue,Open,LBP02820260105
HUAWEI,1/5/2026,LBP029,Metro-E,MEDAN,12,23.17%,231.684.552,1000.0,P2,need check quality transport,P2,12,231.684.552,need check quality transport,Open,LBP02920260105
HUAWEI,1/5/2026,LBP030,Metro-E,MEDAN,13,59.55%,595.453.352,1000.0,P2,need check quality transport,P2,13,595.453.352,need check quality transport,Open,LBP03020260105
HUAWEI,1/5/2026,LBP031,Leased Radio IP,MEDAN,23,101.15%,20.230.032,200.0,P1,Capacity transport issue,P1,23,20.230.032,Capacity transport issue,Open,LBP03120260105
HUAWEI,1/5/2026,LBP032,Leased Radio IP,PEMATANG SIANTAR,19,104.90%,209.795.864,200.0,P1,Capacity transport issue,P1,19,209.795.864,Capacity transport issue,Open,LBP03220260105
HUAWEI,1/5/2026,LBP035,Telkomsel Radio IP,PEMATANG SIANTAR,18,99.79%,199.583.472,200.0,P1,Capacity transport issue,P1,18,199.583.472,Capacity transport issue,Open,LBP03520260105
HUAWEI,1/5/2026,LBP052,Metro-E,PEMATANG SIANTAR,13,4.11%,410.921.936,10000.0,P2,need check quality transport,P2,13,410.921.936,need check quality transport,Open,LBP05220260105
HUAWEI,1/5/2026,LBP054,Metro-E,MEDAN,12,31.61%,316.072.904,1000.0,P2,need check quality transport,P2,12,316.072.904,need check quality transport,Open,LBP05420260105
HUAWEI,1/5/2026,LBP056,Metro-E,MEDAN,15,41.00%,409.995.304,1000.0,P2,need check quality transport,P2,15,409.995.304,need check quality transport,Open,LBP05620260105
HUAWEI,1/5/2026,LBP057,Telkomsel Radio IP,MEDAN,12,168.14%,336.280.008,200.0,P2,Capacity transport issue,P2,12,336.280.008,Capacity transport issue,Open,LBP05720260105
HUAWEI,1/5/2026,LBP059,Metro-E,MEDAN,13,40.50%,404.984.672,1000.0,P2,need check quality transport,P2,13,404.984.672,need check quality transport,Open,LBP05920260105
HUAWEI,1/5/2026,LBP069,Metro-E,MEDAN,15,44.82%,448.198.192,1000.0,P2,need check quality transport,P2,15,448.198.192,need check quality transport,Open,LBP06920260105
HUAWEI,1/5/2026,LBP071,Telkomsel Radio IP,PEMATANG SIANTAR,19,52.72%,21.086.364,400.0,P1,need check quality transport,P1,19,21.086.364,need check quality transport,Open,LBP07120260105
HUAWEI,1/5/2026,LBP075,Metro-E,PEMATANG SIANTAR,14,30.63%,306.271.712,1000.0,P2,need check quality transport,P2,14,306.271.712,need check quality transport,Open,LBP07520260105
HUAWEI,1/5/2026,LBP076,Leased Radio IP,PEMATANG SIANTAR,14,134.94%,269.873.328,200.0,P2,Capacity transport issue,P2,14,269.873.328,Capacity transport issue,Open,LBP07620260105
HUAWEI,1/5/2026,LBP085,Telkomsel Radio IP,PEMATANG SIANTAR,15,94.86%,37.945.928,400.0,P2,Capacity transport issue,P2,15,37.945.928,Capacity transport issue,Open,LBP08520260105
HUAWEI,1/5/2026,LBP087,Metro-E,MEDAN,12,38.05%,380.543.768,1000.0,P2,need check quality transport,P2,12,380.543.768,need check quality transport,Open,LBP08720260105
HUAWEI,1/5/2026,LBP092,Metro-E,MEDAN,16,37.39%,37.389.192,1000.0,P2,need check quality transport,P2,16,37.389.192,need check quality transport,Open,LBP09220260105
HUAWEI,1/5/2026,LBP094,Metro-E,MEDAN,13,29.72%,29.717.304,1000.0,P2,need check quality transport,P2,13,29.717.304,need check quality transport,Open,LBP09420260105
HUAWEI,1/5/2026,LBP108,Metro-E,MEDAN,16,35.99%,359.866.384,1000.0,P2,need check quality transport,P2,16,359.866.384,need check quality transport,Open,LBP10820260105
HUAWEI,1/5/2026,LBP117,Leased Radio IP,PEMATANG SIANTAR,13,33.92%,203.548.728,600.0,P2,need check quality transport,P2,13,203.548.728,need check quality transport,Open,LBP11720260105
HUAWEI,1/5/2026,LBP119,Metro-E,MEDAN,13,34.61%,346.097.952,1000.0,P2,need check quality transport,P2,13,346.097.952,need check quality transport,Open,LBP11920260105
HUAWEI,1/5/2026,LBP124,Leased Radio IP,MEDAN,16,56.79%,34.075.984,600.0,P2,need check quality transport,P2,16,34.075.984,need check quality transport,Open,LBP12420260105
HUAWEI,1/5/2026,LBP125,Metro-E,MEDAN,13,31.28%,312.805.288,1000.0,P2,need check quality transport,P2,13,312.805.288,need check quality transport,Open,LBP12520260105
HUAWEI,1/5/2026,LBP130,Telkomsel Radio IP,MEDAN,19,97.90%,195.800.816,200.0,P1,Capacity transport issue,P1,19,195.800.816,Capacity transport issue,Open,LBP13020260105
HUAWEI,1/5/2026,LBP131,Metro-E,MEDAN,13,48.72%,487.220.248,1000.0,P2,need check quality transport,P2,13,487.220.248,need check quality transport,Open,LBP13120260105
HUAWEI,1/5/2026,LBP132,Metro-E,MEDAN,16,30.90%,30.898.928,1000.0,P2,need check quality transport,P2,16,30.898.928,need check quality transport,Open,LBP13220260105
HUAWEI,1/5/2026,LBP136,Leased Radio IP,PEMATANG SIANTAR,14,40.10%,320.806.504,800.0,P2,need check quality transport,P2,14,320.806.504,need check quality transport,Open,LBP13620260105
HUAWEI,1/5/2026,LBP142,Metro-E,MEDAN,12,40.80%,408.019.432,1000.0,P2,need check quality transport,P2,12,408.019.432,need check quality transport,Open,LBP14220260105
HUAWEI,1/5/2026,LBP143,Metro-E,MEDAN,12,35.26%,352.602.824,1000.0,P2,need check quality transport,P2,12,352.602.824,need check quality transport,Open,LBP14320260105
HUAWEI,1/5/2026,LBP146,Metro-E,MEDAN,15,34.85%,348.508.264,1000.0,P2,need check quality transport,P2,15,348.508.264,need check quality transport,Open,LBP14620260105
HUAWEI,1/5/2026,LBP148,Metro-E,PEMATANG SIANTAR,13,25.93%,25.928.208,1000.0,P2,need check quality transport,P2,13,25.928.208,need check quality transport,Open,LBP14820260105
HUAWEI,1/5/2026,LBP149,Metro-E,PEMATANG SIANTAR,13,20.85%,208.523.816,1000.0,P2,need check quality transport,P2,13,208.523.816,need check quality transport,Open,LBP14920260105
HUAWEI,1/5/2026,LBP150,Telkomsel Radio IP,MEDAN,21,100.35%,200.696.856,200.0,P1,Capacity transport issue,P1,21,200.696.856,Capacity transport issue,Open,LBP15020260105
HUAWEI,1/5/2026,LBP157,Telkomsel Radio IP,PEMATANG SIANTAR,21,80.46%,160.921.672,200.0,P1,Capacity transport issue,P1,21,160.921.672,Capacity transport issue,Open,LBP15720260105
HUAWEI,1/5/2026,LBP166,Metro-E,MEDAN,12,30.04%,300.375.696,1000.0,P2,need check quality transport,P2,12,300.375.696,need check quality transport,Open,LBP16620260105
HUAWEI,1/5/2026,LBP170,Metro-E,MEDAN,12,38.13%,381.345.688,1000.0,P2,need check quality transport,P2,12,381.345.688,need check quality transport,Open,LBP17020260105
HUAWEI,1/5/2026,LBP173,Telkomsel Radio IP,MEDAN,19,104.89%,209.789.832,200.0,P1,Capacity transport issue,P1,19,209.789.832,Capacity transport issue,Open,LBP17320260105
HUAWEI,1/5/2026,LBP178,Metro-E,PEMATANG SIANTAR,13,50.85%,508.483.328,1000.0,P2,need check quality transport,P2,13,508.483.328,need check quality transport,Open,LBP17820260105
HUAWEI,1/5/2026,LBP182,Metro-E,MEDAN,15,30.85%,308.485.408,1000.0,P2,need check quality transport,P2,15,308.485.408,need check quality transport,Open,LBP18220260105
HUAWEI,1/5/2026,LBP183,Leased Radio IP,MEDAN,19,52.96%,211.825.576,400.0,P1,need check quality transport,P1,19,211.825.576,need check quality transport,Open,LBP18320260105
HUAWEI,1/5/2026,LBP186,Metro-E,PEMATANG SIANTAR,12,49.77%,497.696.312,1000.0,P2,need check quality transport,P2,12,497.696.312,need check quality transport,Open,LBP18620260105
HUAWEI,1/5/2026,LBP189,Metro-E,MEDAN,13,31.72%,317.192.384,1000.0,P2,need check quality transport,P2,13,317.192.384,need check quality transport,Open,LBP18920260105
HUAWEI,1/5/2026,LBP191,Metro-E,MEDAN,12,28.00%,28.003.684,1000.0,P2,need check quality transport,P2,12,28.003.684,need check quality transport,Open,LBP19120260105
HUAWEI,1/5/2026,LBP196,Metro-E,MEDAN,13,40.62%,406.249.328,1000.0,P2,need check quality transport,P2,13,406.249.328,need check quality transport,Open,LBP19620260105
HUAWEI,1/5/2026,LBP200,Leased Radio IP,PEMATANG SIANTAR,18,104.76%,209.511.584,200.0,P1,Capacity transport issue,P1,18,209.511.584,Capacity transport issue,Open,LBP20020260105
HUAWEI,1/5/2026,LBP205,Telkomsel Radio IP,PEMATANG SIANTAR,17,47.31%,18.922.492,400.0,P2,need check quality transport,P2,17,18.922.492,need check quality transport,Open,LBP20520260105
HUAWEI,1/5/2026,LBP208,Metro-E,MEDAN,14,42.64%,426.409.352,1000.0,P2,need check quality transport,P2,14,426.409.352,need check quality transport,Open,LBP20820260105
HUAWEI,1/5/2026,LBP217,Telkomsel Radio IP,MEDAN,22,48.70%,194.797.496,400.0,P1,need check quality transport,P1,22,194.797.496,need check quality transport,Open,LBP21720260105
HUAWEI,1/5/2026,LBP227,Metro-E,PEMATANG SIANTAR,12,47.11%,471.108.744,1000.0,P2,need check quality transport,P2,12,471.108.744,need check quality transport,Open,LBP22720260105
HUAWEI,1/5/2026,LBP236,Metro-E,MEDAN,14,46.57%,465.662.632,1000.0,P2,need check quality transport,P2,14,465.662.632,need check quality transport,Open,LBP23620260105
HUAWEI,1/5/2026,LBP244,Metro-E,MEDAN,12,41.22%,412.194.632,1000.0,P2,need check quality transport,P2,12,412.194.632,need check quality transport,Open,LBP24420260105
HUAWEI,1/5/2026,LBP250,Metro-E,MEDAN,15,49.06%,490.643.416,1000.0,P2,need check quality transport,P2,15,490.643.416,need check quality transport,Open,LBP25020260105
HUAWEI,1/5/2026,LBP262,Metro-E,MEDAN,14,34.53%,345.283.296,1000.0,P2,need check quality transport,P2,14,345.283.296,need check quality transport,Open,LBP26220260105
HUAWEI,1/5/2026,LBP263,Telkomsel Radio IP,PEMATANG SIANTAR,14,84.15%,336.610.656,400.0,P2,Capacity transport issue,P2,14,336.610.656,Capacity transport issue,Open,LBP26320260105
HUAWEI,1/5/2026,LBP264,Telkomsel Radio IP,PEMATANG SIANTAR,17,58.92%,353.545.712,600.0,P2,need check quality transport,P2,17,353.545.712,need check quality transport,Open,LBP26420260105
HUAWEI,1/5/2026,LBP295,Leased Radio IP,PEMATANG SIANTAR,15,70.92%,42.552.292,600.0,P2,monitoring,P2,15,42.552.292,monitoring,Open,LBP29520260105
HUAWEI,1/5/2026,LBP313,Metro-E,MEDAN,13,28.44%,284.437.376,1000.0,P2,need check quality transport,P2,13,284.437.376,need check quality transport,Open,LBP31320260105
HUAWEI,1/5/2026,LBP322,BTS Hotel,MEDAN,12,282.95%,28.294.656,100.0,P2,Capacity transport issue,P2,12,28.294.656,Capacity transport issue,Open,LBP32220260105
HUAWEI,1/5/2026,LBP330,Metro-E,MEDAN,16,36.82%,36.820.972,1000.0,P2,need check quality transport,P2,16,36.820.972,need check quality transport,Open,LBP33020260105
HUAWEI,1/5/2026,LBP331,Metro-E,MEDAN,14,44.80%,447.969.336,1000.0,P2,need check quality transport,P2,14,447.969.336,need check quality transport,Open,LBP33120260105
HUAWEI,1/5/2026,LBP332,Metro-E,MEDAN,14,34.70%,347.035.096,1000.0,P2,need check quality transport,P2,14,347.035.096,need check quality transport,Open,LBP33220260105
HUAWEI,1/5/2026,LBP334,Metro-E,MEDAN,13,27.88%,2.787.582,1000.0,P2,need check quality transport,P2,13,2.787.582,need check quality transport,Open,LBP33420260105
HUAWEI,1/5/2026,LBP342,Leased Radio IP,MEDAN,18,100.24%,20.047.236,200.0,P1,Capacity transport issue,P1,18,20.047.236,Capacity transport issue,Open,LBP34220260105
HUAWEI,1/5/2026,LBP344,Leased Radio IP,MEDAN,16,97.43%,292.299.968,300.0,P2,Capacity transport issue,P2,16,292.299.968,Capacity transport issue,Open,LBP34420260105
HUAWEI,1/5/2026,LBP349,Telkomsel Radio IP,MEDAN,19,96.30%,192.594.856,200.0,P1,Capacity transport issue,P1,19,192.594.856,Capacity transport issue,Open,LBP34920260105
HUAWEI,1/5/2026,LBP369,Metro-E,MEDAN,12,37.50%,374.964.128,1000.0,P2,need check quality transport,P2,12,374.964.128,need check quality transport,Open,LBP36920260105
HUAWEI,1/5/2026,LBP371,Metro-E,MEDAN,16,33.11%,331.104.136,1000.0,P2,need check quality transport,P2,16,331.104.136,need check quality transport,Open,LBP37120260105
HUAWEI,1/5/2026,LBP387,Metro-E,MEDAN,16,43.17%,431.683.512,1000.0,P2,need check quality transport,P2,16,431.683.512,need check quality transport,Open,LBP38720260105
HUAWEI,1/5/2026,LBP388,Metro-E,MEDAN,14,23.73%,237.287.728,1000.0,P2,need check quality transport,P2,14,237.287.728,need check quality transport,Open,LBP38820260105
HUAWEI,1/5/2026,LBP390,Metro-E,MEDAN,12,45.99%,459.938.712,1000.0,P2,need check quality transport,P2,12,459.938.712,need check quality transport,Open,LBP39020260105
HUAWEI,1/5/2026,LBP412,Metro-E,PEMATANG SIANTAR,12,24.68%,246.777.432,1000.0,P2,need check quality transport,P2,12,246.777.432,need check quality transport,Open,LBP41220260105
HUAWEI,1/5/2026,LBP416,Metro-E,MEDAN,13,36.54%,365.414.416,1000.0,P2,need check quality transport,P2,13,365.414.416,need check quality transport,Open,LBP41620260105
HUAWEI,1/5/2026,LBP421,Metro-E,PEMATANG SIANTAR,16,33.50%,334.980.704,1000.0,P2,need check quality transport,P2,16,334.980.704,need check quality transport,Open,LBP42120260105
HUAWEI,1/5/2026,LBP424,Metro-E,MEDAN,12,35.57%,35.572.764,1000.0,P2,need check quality transport,P2,12,35.572.764,need check quality transport,Open,LBP42420260105
HUAWEI,1/5/2026,LBP426,Telkomsel Radio IP,MEDAN,22,101.66%,203.315.456,200.0,P1,Capacity transport issue,P1,22,203.315.456,Capacity transport issue,Open,LBP42620260105
HUAWEI,1/5/2026,LBP434,Metro-E,MEDAN,12,25.99%,259.872.872,1000.0,P2,need check quality transport,P2,12,259.872.872,need check quality transport,Open,LBP43420260105
HUAWEI,1/5/2026,LBP445,Leased Radio IP,MEDAN,21,100.73%,201.468.888,200.0,P1,Capacity transport issue,P1,21,201.468.888,Capacity transport issue,Open,LBP44520260105
HUAWEI,1/5/2026,LBP446,Metro-E,MEDAN,13,26.90%,268.979.352,1000.0,P2,need check quality transport,P2,13,268.979.352,need check quality transport,Open,LBP44620260105
HUAWEI,1/5/2026,LBP450,Metro-E,MEDAN,13,34.73%,347.275.704,1000.0,P2,need check quality transport,P2,13,347.275.704,need check quality transport,Open,LBP45020260105
HUAWEI,1/5/2026,LBP454,Metro-E,MEDAN,12,18.36%,1.835.708,1000.0,P2,need check quality transport,P2,12,1.835.708,need check quality transport,Open,LBP45420260105
HUAWEI,1/5/2026,LBP456,Metro-E,MEDAN,15,36.21%,36.209.508,1000.0,P2,need check quality transport,P2,15,36.209.508,need check quality transport,Open,LBP45620260105
HUAWEI,1/5/2026,LBP471,Leased Radio IP,MEDAN,22,106.27%,212.532.856,200.0,P1,Capacity transport issue,P1,22,212.532.856,Capacity transport issue,Open,LBP47120260105
HUAWEI,1/5/2026,LBP479,Leased Radio IP,PEMATANG SIANTAR,19,201.62%,201.623.608,100.0,P1,Capacity transport issue,P1,19,201.623.608,Capacity transport issue,Open,LBP47920260105
HUAWEI,1/5/2026,LBP488,Metro-E,MEDAN,12,37.72%,377.172.984,1000.0,P2,need check quality transport,P2,12,377.172.984,need check quality transport,Open,LBP48820260105
